regel_id,factuur_id,product_id,omschrijving,aantal,eenheidsprijs,btw_tarief,bedrag_excl_btw,bedrag_btw
1302,380,26,Kitten en afdichtmiddel (stuk),11.9,9.0,0.21,107.1,22.49
1303,380,20,Materiaal verf (liter),16.8,8.5,0.21,142.8,29.99
1304,380,16,Bestrating,17.2,40.0,0.21,688.0,144.48
1305,380,11,Grondverf aanbrengen,15.5,6.5,0.21,100.75,21.16
1306,380,3,Uitvoering schilderwerk buiten,11.7,18.5,0.21,216.45,45.45
1307,381,7,Houtrot herstel,19.8,75.0,0.21,1485.0,311.85
1308,381,30,Omzetbelasting correctie,9.7,0.0,0.09,0.0,0.0
1309,381,7,Houtrot herstel,14.5,75.0,0.21,1087.5,228.38
1310,381,14,Snoeien en onderhoud,3.8,60.0,0.21,228.0,47.88
1311,381,12,Lakken kozijnen,8.5,45.0,0.21,382.5,80.33
1312,381,21,Materiaal grondverf (liter),9.8,6.0,0.21,58.8,12.35
1313,382,7,Houtrot herstel,1.6,75.0,0.21,120.0,25.2
1314,382,1,Advies en consultancy,11.3,95.0,0.21,1073.5,225.44
1315,383,18,APK-keuring begeleiding,3.6,35.0,0.21,126.0,26.46
1316,383,15,Tuinaanleg,5.2,25.0,0.21,130.0,27.3
1317,383,30,Omzetbelasting correctie,16.9,0.0,0.09,0.0,0.0
1318,383,6,Stucwerk,16.2,35.0,0.21,567.0,119.07
1319,383,2,Projectbegeleiding,17.9,85.0,0.21,1521.5,319.51
1320,383,22,Schuurpapier (set),14.6,12.0,0.21,175.2,36.79
1321,384,18,APK-keuring begeleiding,7.6,35.0,0.21,266.0,55.86
1322,384,6,Stucwerk,1.1,35.0,0.21,38.5,8.08
1323,384,5,Behangen,1.1,22.0,0.21,24.2,5.08
1324,385,22,Schuurpapier (set),14.6,12.0,0.21,175.2,36.79
1325,385,16,Bestrating,12.6,40.0,0.21,504.0,105.84
1326,385,14,Snoeien en onderhoud,15.5,60.0,0.21,930.0,195.3
1327,385,7,Houtrot herstel,13.0,75.0,0.21,975.0,204.75
1328,386,12,Lakken kozijnen,17.8,45.0,0.21,801.0,168.21
1329,387,29,Cursus veiligheid op hoogte,4.3,250.0,0.21,1075.0,225.75
1330,387,23,Kwasten en rollers (set),1.9,18.0,0.21,34.2,7.18
1331,387,7,Houtrot herstel,8.9,75.0,0.21,667.5,140.17
1332,387,15,Tuinaanleg,3.6,25.0,0.21,90.0,18.9
1333,388,9,Gevelreiniging,14.0,8.0,0.21,-112.0,-23.52
1334,388,29,Cursus veiligheid op hoogte,16.6,250.0,0.21,-4150.0,-871.5
1335,388,9,Gevelreiniging,4.8,8.0,0.21,-38.4,-8.06
1336,388,15,Tuinaanleg,7.3,25.0,0.21,-182.5,-38.32
1337,388,7,Houtrot herstel,11.9,75.0,0.21,-892.5,-187.42
1338,388,14,Snoeien en onderhoud,15.6,60.0,0.21,-936.0,-196.56
1339,389,13,Kleuradvies,5.2,65.0,0.21,338.0,70.98
1340,389,14,Snoeien en onderhoud,17.0,60.0,0.21,1020.0,214.2
1341,389,26,Kitten en afdichtmiddel (stuk),9.1,9.0,0.21,81.9,17.2
1342,389,13,Kleuradvies,16.9,65.0,0.21,1098.5,230.69
1343,389,16,Bestrating,14.8,40.0,0.21,592.0,124.32
1344,389,10,Dakgoot behandeling,1.2,12.0,0.21,14.4,3.02
1345,390,4,Uitvoering schilderwerk binnen,9.3,14.0,0.21,130.2,27.34
1346,390,9,Gevelreiniging,12.0,8.0,0.21,96.0,20.16
1347,390,1,Advies en consultancy,1.6,95.0,0.21,152.0,31.92
1348,390,18,APK-keuring begeleiding,6.5,35.0,0.21,227.5,47.77
1349,391,10,Dakgoot behandeling,3.7,12.0,0.21,44.4,9.32
1350,391,14,Snoeien en onderhoud,16.8,60.0,0.21,1008.0,211.68
1351,391,6,Stucwerk,10.8,35.0,0.21,378.0,79.38
1352,391,19,Kleine reparaties,3.5,65.0,0.21,227.5,47.77
1353,392,20,Materiaal verf (liter),11.9,8.5,0.21,101.15,21.24
1354,392,23,Kwasten en rollers (set),8.9,18.0,0.21,160.2,33.64
1355,392,24,Afplakfolie (m²),14.7,2.5,0.21,36.75,7.72
1356,392,7,Houtrot herstel,3.3,75.0,0.21,247.5,51.98
1357,393,11,Grondverf aanbrengen,10.6,6.5,0.21,68.9,14.47
1358,394,28,Hoogwerker huur (dag),14.5,180.0,0.21,2610.0,548.1
1359,394,16,Bestrating,19.9,40.0,0.21,796.0,167.16
1360,394,6,Stucwerk,18.8,35.0,0.21,658.0,138.18
1361,394,24,Afplakfolie (m²),17.5,2.5,0.21,43.75,9.19
1362,394,7,Houtrot herstel,12.3,75.0,0.21,922.5,193.72
1363,394,2,Projectbegeleiding,15.7,85.0,0.21,1334.5,280.25
1364,395,15,Tuinaanleg,14.4,25.0,0.21,360.0,75.6
1365,395,18,APK-keuring begeleiding,11.2,35.0,0.21,392.0,82.32
1366,395,13,Kleuradvies,1.8,65.0,0.21,117.0,24.57
1367,395,3,Uitvoering schilderwerk buiten,19.7,18.5,0.21,364.45,76.53
1368,396,29,Cursus veiligheid op hoogte,16.2,250.0,0.21,4050.0,850.5
1369,396,1,Advies en consultancy,14.4,95.0,0.21,1368.0,287.28
1370,396,19,Kleine reparaties,9.9,65.0,0.21,643.5,135.13
1371,396,27,Steiger huur (dag),11.3,85.0,0.21,960.5,201.7
1372,396,3,Uitvoering schilderwerk buiten,16.2,18.5,0.21,299.7,62.94
1373,397,24,Afplakfolie (m²),7.9,2.5,0.21,19.75,4.15
1374,397,29,Cursus veiligheid op hoogte,4.4,250.0,0.21,1100.0,231.0
1375,397,11,Grondverf aanbrengen,15.0,6.5,0.21,97.5,20.47
1376,397,12,Lakken kozijnen,11.7,45.0,0.21,526.5,110.56
1377,397,15,Tuinaanleg,7.1,25.0,0.21,177.5,37.27
1378,397,16,Bestrating,12.4,40.0,0.21,496.0,104.16
1379,398,1,Advies en consultancy,14.5,95.0,0.21,1377.5,289.27
1380,398,25,Houtbeschermingsproduct (liter),7.3,14.0,0.21,102.2,21.46
1381,399,1,Advies en consultancy,11.4,95.0,0.21,1083.0,227.43
1382,399,29,Cursus veiligheid op hoogte,17.1,250.0,0.21,4275.0,897.75
1383,399,17,Autodetailing,11.8,120.0,0.21,1416.0,297.36
1384,399,30,Omzetbelasting correctie,19.0,0.0,0.09,0.0,0.0
1385,400,17,Autodetailing,12.3,120.0,0.21,1476.0,309.96
1386,400,13,Kleuradvies,2.2,65.0,0.21,143.0,30.03
1387,400,30,Omzetbelasting correctie,10.8,0.0,0.09,0.0,0.0
1388,400,9,Gevelreiniging,9.7,8.0,0.21,77.6,16.3
1389,400,22,Schuurpapier (set),15.2,12.0,0.21,182.4,38.3
1390,400,5,Behangen,13.8,22.0,0.21,303.6,63.76
1391,401,9,Gevelreiniging,8.4,8.0,0.21,-67.2,-14.11
1392,401,4,Uitvoering schilderwerk binnen,15.1,14.0,0.21,-211.4,-44.39
1393,401,24,Afplakfolie (m²),5.7,2.5,0.21,-14.25,-2.99
1394,401,27,Steiger huur (dag),11.9,85.0,0.21,-1011.5,-212.41
1395,402,15,Tuinaanleg,3.0,25.0,0.21,75.0,15.75
1396,402,30,Omzetbelasting correctie,18.7,0.0,0.09,0.0,0.0
1397,403,12,Lakken kozijnen,17.8,45.0,0.21,801.0,168.21
1398,403,5,Behangen,10.8,22.0,0.21,237.6,49.9
1399,403,24,Afplakfolie (m²),13.2,2.5,0.21,33.0,6.93
1400,403,18,APK-keuring begeleiding,17.4,35.0,0.21,609.0,127.89
1401,403,17,Autodetailing,8.5,120.0,0.21,1020.0,214.2
1402,403,21,Materiaal grondverf (liter),3.0,6.0,0.21,18.0,3.78
1403,404,21,Materiaal grondverf (liter),1.1,6.0,0.21,6.6,1.39
1404,405,21,Materiaal grondverf (liter),16.7,6.0,0.21,100.2,21.04
1405,405,26,Kitten en afdichtmiddel (stuk),6.3,9.0,0.21,56.7,11.91
1406,405,15,Tuinaanleg,14.0,25.0,0.21,350.0,73.5
1407,405,21,Materiaal grondverf (liter),13.5,6.0,0.21,81.0,17.01
1408,405,28,Hoogwerker huur (dag),16.2,180.0,0.21,2916.0,612.36
1409,405,9,Gevelreiniging,3.1,8.0,0.21,24.8,5.21
1410,406,21,Materiaal grondverf (liter),5.4,6.0,0.21,32.4,6.8
1411,406,25,Houtbeschermingsproduct (liter),9.6,14.0,0.21,134.4,28.22
1412,406,12,Lakken kozijnen,19.9,45.0,0.21,895.5,188.06
1413,407,30,Omzetbelasting correctie,12.6,0.0,0.09,0.0,0.0
1414,407,11,Grondverf aanbrengen,19.1,6.5,0.21,124.15,26.07
1415,408,17,Autodetailing,15.4,120.0,0.21,1848.0,388.08
1416,408,30,Omzetbelasting correctie,13.8,0.0,0.09,0.0,0.0
1417,408,11,Grondverf aanbrengen,8.9,6.5,0.21,57.85,12.15
1418,408,26,Kitten en afdichtmiddel (stuk),11.5,9.0,0.21,103.5,21.73
1419,409,15,Tuinaanleg,13.4,25.0,0.21,335.0,70.35
1420,410,22,Schuurpapier (set),1.5,12.0,0.21,18.0,3.78
1421,410,21,Materiaal grondverf (liter),1.0,6.0,0.21,6.0,1.26
1422,410,17,Autodetailing,11.2,120.0,0.21,1344.0,282.24
1423,411,8,Schuurwerk en voorbereiding,18.2,55.0,0.21,1001.0,210.21
1424,412,6,Stucwerk,5.3,35.0,0.21,185.5,38.95
1425,412,25,Houtbeschermingsproduct (liter),20.0,14.0,0.21,280.0,58.8
1426,412,5,Behangen,18.7,22.0,0.21,411.4,86.39
1427,412,22,Schuurpapier (set),16.2,12.0,0.21,194.4,40.82
1428,412,11,Grondverf aanbrengen,4.7,6.5,0.21,30.55,6.42
1429,412,15,Tuinaanleg,5.5,25.0,0.21,137.5,28.88
1430,413,5,Behangen,19.4,22.0,0.21,426.8,89.63
1431,413,8,Schuurwerk en voorbereiding,6.1,55.0,0.21,335.5,70.45
1432,414,12,Lakken kozijnen,7.5,45.0,0.21,337.5,70.88
1433,414,15,Tuinaanleg,19.7,25.0,0.21,492.5,103.42
1434,414,2,Projectbegeleiding,18.4,85.0,0.21,1564.0,328.44
1435,415,30,Omzetbelasting correctie,18.7,0.0,0.09,0.0,0.0
1436,415,12,Lakken kozijnen,11.7,45.0,0.21,526.5,110.56
1437,415,26,Kitten en afdichtmiddel (stuk),9.9,9.0,0.21,89.1,18.71
1438,416,5,Behangen,10.1,22.0,0.21,222.2,46.66
1439,416,24,Afplakfolie (m²),15.4,2.5,0.21,38.5,8.08
1440,416,1,Advies en consultancy,17.0,95.0,0.21,1615.0,339.15
1441,416,11,Grondverf aanbrengen,1.6,6.5,0.21,10.4,2.18
1442,416,24,Afplakfolie (m²),8.7,2.5,0.21,21.75,4.57
1443,416,29,Cursus veiligheid op hoogte,3.9,250.0,0.21,975.0,204.75
1444,417,10,Dakgoot behandeling,6.4,12.0,0.21,76.8,16.13
1445,417,18,APK-keuring begeleiding,14.2,35.0,0.21,497.0,104.37
1446,417,8,Schuurwerk en voorbereiding,13.8,55.0,0.21,759.0,159.39
1447,417,30,Omzetbelasting correctie,5.9,0.0,0.09,0.0,0.0
1448,418,1,Advies en consultancy,10.5,95.0,0.21,997.5,209.47
1449,418,16,Bestrating,15.6,40.0,0.21,624.0,131.04
1450,418,20,Materiaal verf (liter),16.2,8.5,0.21,137.7,28.92
1451,418,10,Dakgoot behandeling,18.5,12.0,0.21,222.0,46.62
1452,419,22,Schuurpapier (set),16.6,12.0,0.21,199.2,41.83
1453,419,2,Projectbegeleiding,1.6,85.0,0.21,136.0,28.56
1454,419,6,Stucwerk,14.2,35.0,0.21,497.0,104.37
1455,420,6,Stucwerk,19.0,35.0,0.21,665.0,139.65
1456,421,15,Tuinaanleg,15.7,25.0,0.21,392.5,82.42
1457,422,2,Projectbegeleiding,4.9,85.0,0.21,416.5,87.47
1458,423,13,Kleuradvies,4.5,65.0,0.21,292.5,61.42
1459,424,20,Materiaal verf (liter),4.0,8.5,0.21,34.0,7.14
1460,424,30,Omzetbelasting correctie,8.2,0.0,0.09,0.0,0.0
1461,424,21,Materiaal grondverf (liter),12.6,6.0,0.21,75.6,15.88
1462,424,4,Uitvoering schilderwerk binnen,1.0,14.0,0.21,14.0,2.94
1463,424,11,Grondverf aanbrengen,5.3,6.5,0.21,34.45,7.23
1464,424,16,Bestrating,2.6,40.0,0.21,104.0,21.84
1465,425,15,Tuinaanleg,9.4,25.0,0.21,235.0,49.35
1466,425,9,Gevelreiniging,4.5,8.0,0.21,36.0,7.56
1467,425,25,Houtbeschermingsproduct (liter),2.0,14.0,0.21,28.0,5.88
1468,425,10,Dakgoot behandeling,12.8,12.0,0.21,153.6,32.26
1469,425,11,Grondverf aanbrengen,10.3,6.5,0.21,66.95,14.06
1470,425,18,APK-keuring begeleiding,11.2,35.0,0.21,392.0,82.32
1471,426,24,Afplakfolie (m²),15.1,2.5,0.21,37.75,7.93
1472,426,3,Uitvoering schilderwerk buiten,19.6,18.5,0.21,362.6,76.15
1473,426,6,Stucwerk,9.0,35.0,0.21,315.0,66.15
1474,426,19,Kleine reparaties,11.5,65.0,0.21,747.5,156.97
1475,426,29,Cursus veiligheid op hoogte,6.5,250.0,0.21,1625.0,341.25
1476,426,14,Snoeien en onderhoud,14.4,60.0,0.21,864.0,181.44
1477,427,27,Steiger huur (dag),14.2,85.0,0.21,1207.0,253.47
1478,427,1,Advies en consultancy,13.3,95.0,0.21,1263.5,265.33
1479,427,29,Cursus veiligheid op hoogte,16.8,250.0,0.21,4200.0,882.0
1480,427,9,Gevelreiniging,9.4,8.0,0.21,75.2,15.79
1481,428,9,Gevelreiniging,9.9,8.0,0.21,79.2,16.63
1482,428,18,APK-keuring begeleiding,18.2,35.0,0.21,637.0,133.77
1483,428,9,Gevelreiniging,1.3,8.0,0.21,10.4,2.18
1484,428,1,Advies en consultancy,16.4,95.0,0.21,1558.0,327.18
1485,428,23,Kwasten en rollers (set),12.5,18.0,0.21,225.0,47.25
1486,428,14,Snoeien en onderhoud,7.0,60.0,0.21,420.0,88.2
1487,429,17,Autodetailing,12.5,120.0,0.21,1500.0,315.0
1488,429,30,Omzetbelasting correctie,3.9,0.0,0.09,0.0,0.0
1489,429,10,Dakgoot behandeling,3.9,12.0,0.21,46.8,9.83
1490,429,17,Autodetailing,2.2,120.0,0.21,264.0,55.44
1491,429,20,Materiaal verf (liter),3.6,8.5,0.21,30.6,6.43
1492,430,7,Houtrot herstel,17.4,75.0,0.21,1305.0,274.05
1493,430,3,Uitvoering schilderwerk buiten,13.3,18.5,0.21,246.05,51.67
1494,430,14,Snoeien en onderhoud,1.6,60.0,0.21,96.0,20.16
1495,431,10,Dakgoot behandeling,20.0,12.0,0.21,240.0,50.4
1496,431,28,Hoogwerker huur (dag),12.0,180.0,0.21,2160.0,453.6
1497,431,12,Lakken kozijnen,13.1,45.0,0.21,589.5,123.8
1498,431,5,Behangen,9.9,22.0,0.21,217.8,45.74
1499,432,22,Schuurpapier (set),6.1,12.0,0.21,73.2,15.37
1500,432,27,Steiger huur (dag),8.6,85.0,0.21,731.0,153.51
1501,432,1,Advies en consultancy,2.6,95.0,0.21,247.0,51.87
1502,432,20,Materiaal verf (liter),2.6,8.5,0.21,22.1,4.64
1503,432,20,Materiaal verf (liter),11.6,8.5,0.21,98.6,20.71
1504,432,9,Gevelreiniging,11.6,8.0,0.21,92.8,19.49
1505,433,13,Kleuradvies,10.2,65.0,0.21,663.0,139.23
1506,433,29,Cursus veiligheid op hoogte,3.0,250.0,0.21,750.0,157.5
1507,433,6,Stucwerk,1.7,35.0,0.21,59.5,12.49
1508,433,15,Tuinaanleg,13.3,25.0,0.21,332.5,69.83
1509,433,24,Afplakfolie (m²),19.0,2.5,0.21,47.5,9.97
1510,433,16,Bestrating,16.7,40.0,0.21,668.0,140.28
1511,434,23,Kwasten en rollers (set),3.9,18.0,0.21,70.2,14.74
1512,434,30,Omzetbelasting correctie,6.6,0.0,0.09,0.0,0.0
1513,434,3,Uitvoering schilderwerk buiten,13.7,18.5,0.21,253.45,53.22
1514,434,11,Grondverf aanbrengen,19.5,6.5,0.21,126.75,26.62
1515,435,12,Lakken kozijnen,1.5,45.0,0.21,67.5,14.17
1516,435,6,Stucwerk,1.2,35.0,0.21,42.0,8.82
1517,435,2,Projectbegeleiding,3.8,85.0,0.21,323.0,67.83
1518,435,22,Schuurpapier (set),6.5,12.0,0.21,78.0,16.38
1519,435,16,Bestrating,4.1,40.0,0.21,164.0,34.44
1520,435,25,Houtbeschermingsproduct (liter),18.7,14.0,0.21,261.8,54.98
1521,436,29,Cursus veiligheid op hoogte,12.9,250.0,0.21,-3225.0,-677.25
1522,436,20,Materiaal verf (liter),10.0,8.5,0.21,-85.0,-17.85
1523,436,21,Materiaal grondverf (liter),9.8,6.0,0.21,-58.8,-12.35
1524,437,10,Dakgoot behandeling,5.8,12.0,0.21,69.6,14.62
1525,437,25,Houtbeschermingsproduct (liter),4.2,14.0,0.21,58.8,12.35
1526,437,5,Behangen,8.3,22.0,0.21,182.6,38.35
1527,437,22,Schuurpapier (set),13.9,12.0,0.21,166.8,35.03
1528,437,25,Houtbeschermingsproduct (liter),15.1,14.0,0.21,211.4,44.39
1529,437,22,Schuurpapier (set),13.3,12.0,0.21,159.6,33.52
1530,438,2,Projectbegeleiding,18.9,85.0,0.21,1606.5,337.37
1531,438,26,Kitten en afdichtmiddel (stuk),13.9,9.0,0.21,125.1,26.27
1532,438,12,Lakken kozijnen,2.8,45.0,0.21,126.0,26.46
1533,439,25,Houtbeschermingsproduct (liter),5.4,14.0,0.21,75.6,15.88
1534,439,15,Tuinaanleg,16.0,25.0,0.21,400.0,84.0
1535,439,26,Kitten en afdichtmiddel (stuk),15.3,9.0,0.21,137.7,28.92
1536,439,24,Afplakfolie (m²),11.9,2.5,0.21,29.75,6.25
1537,439,26,Kitten en afdichtmiddel (stuk),14.0,9.0,0.21,126.0,26.46
1538,440,26,Kitten en afdichtmiddel (stuk),16.1,9.0,0.21,144.9,30.43
1539,441,9,Gevelreiniging,6.2,8.0,0.21,49.6,10.42
1540,442,12,Lakken kozijnen,9.4,45.0,0.21,423.0,88.83
1541,442,9,Gevelreiniging,7.3,8.0,0.21,58.4,12.26
1542,442,19,Kleine reparaties,12.7,65.0,0.21,825.5,173.35
1543,442,18,APK-keuring begeleiding,9.3,35.0,0.21,325.5,68.36
1544,442,6,Stucwerk,5.9,35.0,0.21,206.5,43.36
1545,442,25,Houtbeschermingsproduct (liter),5.6,14.0,0.21,78.4,16.46
1546,443,17,Autodetailing,8.1,120.0,0.21,972.0,204.12
1547,443,23,Kwasten en rollers (set),17.4,18.0,0.21,313.2,65.77
1548,443,18,APK-keuring begeleiding,5.8,35.0,0.21,203.0,42.63
1549,443,22,Schuurpapier (set),9.1,12.0,0.21,109.2,22.93
1550,443,17,Autodetailing,12.6,120.0,0.21,1512.0,317.52
1551,443,22,Schuurpapier (set),19.9,12.0,0.21,238.8,50.15
1552,444,22,Schuurpapier (set),5.0,12.0,0.21,60.0,12.6
1553,444,27,Steiger huur (dag),13.5,85.0,0.21,1147.5,240.97
1554,444,24,Afplakfolie (m²),14.2,2.5,0.21,35.5,7.46
1555,444,21,Materiaal grondverf (liter),6.2,6.0,0.21,37.2,7.81
1556,444,30,Omzetbelasting correctie,17.2,0.0,0.09,0.0,0.0
1557,445,30,Omzetbelasting correctie,3.6,0.0,0.09,0.0,0.0
1558,445,11,Grondverf aanbrengen,17.2,6.5,0.21,111.8,23.48
1559,445,10,Dakgoot behandeling,11.4,12.0,0.21,136.8,28.73
1560,445,6,Stucwerk,16.6,35.0,0.21,581.0,122.01
1561,445,17,Autodetailing,17.5,120.0,0.21,2100.0,441.0
1562,445,30,Omzetbelasting correctie,10.2,0.0,0.09,0.0,0.0
1563,446,22,Schuurpapier (set),5.9,12.0,0.21,70.8,14.87
1564,446,24,Afplakfolie (m²),11.3,2.5,0.21,28.25,5.93
1565,446,15,Tuinaanleg,6.8,25.0,0.21,170.0,35.7
1566,446,1,Advies en consultancy,6.6,95.0,0.21,627.0,131.67
1567,447,9,Gevelreiniging,9.2,8.0,0.21,73.6,15.46
1568,448,27,Steiger huur (dag),18.0,85.0,0.21,1530.0,321.3
1569,448,14,Snoeien en onderhoud,9.5,60.0,0.21,570.0,119.7
1570,448,27,Steiger huur (dag),9.1,85.0,0.21,773.5,162.44
1571,448,30,Omzetbelasting correctie,10.6,0.0,0.09,0.0,0.0
1572,448,21,Materiaal grondverf (liter),12.8,6.0,0.21,76.8,16.13
1573,449,29,Cursus veiligheid op hoogte,9.6,250.0,0.21,2400.0,504.0
1574,449,10,Dakgoot behandeling,19.4,12.0,0.21,232.8,48.89
1575,449,8,Schuurwerk en voorbereiding,6.3,55.0,0.21,346.5,72.77
1576,450,23,Kwasten en rollers (set),7.2,18.0,0.21,129.6,27.22
1577,451,29,Cursus veiligheid op hoogte,5.7,250.0,0.21,1425.0,299.25
1578,451,20,Materiaal verf (liter),1.5,8.5,0.21,12.75,2.68
1579,451,5,Behangen,17.0,22.0,0.21,374.0,78.54
1580,451,27,Steiger huur (dag),19.6,85.0,0.21,1666.0,349.86
1581,452,14,Snoeien en onderhoud,3.3,60.0,0.21,198.0,41.58
1582,452,29,Cursus veiligheid op hoogte,2.3,250.0,0.21,575.0,120.75
1583,452,12,Lakken kozijnen,8.8,45.0,0.21,396.0,83.16
1584,453,22,Schuurpapier (set),9.0,12.0,0.21,108.0,22.68
1585,454,21,Materiaal grondverf (liter),18.6,6.0,0.21,111.6,23.44
1586,454,8,Schuurwerk en voorbereiding,5.7,55.0,0.21,313.5,65.83
1587,454,7,Houtrot herstel,16.9,75.0,0.21,1267.5,266.18
1588,454,22,Schuurpapier (set),4.3,12.0,0.21,51.6,10.84
1589,455,10,Dakgoot behandeling,9.7,12.0,0.21,116.4,24.44
1590,455,28,Hoogwerker huur (dag),7.7,180.0,0.21,1386.0,291.06
1591,455,7,Houtrot herstel,17.4,75.0,0.21,1305.0,274.05
1592,456,18,APK-keuring begeleiding,18.2,35.0,0.21,637.0,133.77
1593,456,18,APK-keuring begeleiding,15.4,35.0,0.21,539.0,113.19
1594,457,17,Autodetailing,8.6,120.0,0.21,1032.0,216.72
1595,457,8,Schuurwerk en voorbereiding,7.7,55.0,0.21,423.5,88.94
1596,457,11,Grondverf aanbrengen,14.5,6.5,0.21,94.25,19.79
1597,458,6,Stucwerk,18.4,35.0,0.21,644.0,135.24
1598,459,9,Gevelreiniging,8.4,8.0,0.21,67.2,14.11
1599,459,30,Omzetbelasting correctie,14.6,0.0,0.09,0.0,0.0
1600,459,17,Autodetailing,15.5,120.0,0.21,1860.0,390.6
1601,459,6,Stucwerk,11.2,35.0,0.21,392.0,82.32
1602,459,29,Cursus veiligheid op hoogte,4.0,250.0,0.21,1000.0,210.0
1603,460,8,Schuurwerk en voorbereiding,2.5,55.0,0.21,137.5,28.88
1604,461,24,Afplakfolie (m²),4.0,2.5,0.21,10.0,2.1
1605,461,1,Advies en consultancy,5.0,95.0,0.21,475.0,99.75
1606,462,13,Kleuradvies,3.6,65.0,0.21,234.0,49.14
1607,462,18,APK-keuring begeleiding,14.3,35.0,0.21,500.5,105.1
1608,462,25,Houtbeschermingsproduct (liter),7.4,14.0,0.21,103.6,21.76
1609,462,16,Bestrating,3.7,40.0,0.21,148.0,31.08
1610,462,15,Tuinaanleg,15.0,25.0,0.21,375.0,78.75
1611,463,15,Tuinaanleg,11.7,25.0,0.21,-292.5,-61.42
1612,463,27,Steiger huur (dag),6.1,85.0,0.21,-518.5,-108.88
1613,463,3,Uitvoering schilderwerk buiten,19.2,18.5,0.21,-355.2,-74.59
1614,463,1,Advies en consultancy,8.7,95.0,0.21,-826.5,-173.56
1615,464,23,Kwasten en rollers (set),8.0,18.0,0.21,144.0,30.24
1616,464,8,Schuurwerk en voorbereiding,7.5,55.0,0.21,412.5,86.62
1617,464,14,Snoeien en onderhoud,4.3,60.0,0.21,258.0,54.18
1618,464,21,Materiaal grondverf (liter),3.5,6.0,0.21,21.0,4.41
1619,464,26,Kitten en afdichtmiddel (stuk),17.2,9.0,0.21,154.8,32.51
1620,464,15,Tuinaanleg,10.5,25.0,0.21,262.5,55.12
1621,465,7,Houtrot herstel,2.2,75.0,0.21,165.0,34.65
1622,465,5,Behangen,15.7,22.0,0.21,345.4,72.53
1623,465,8,Schuurwerk en voorbereiding,15.2,55.0,0.21,836.0,175.56
1624,465,22,Schuurpapier (set),16.7,12.0,0.21,200.4,42.08
1625,466,25,Houtbeschermingsproduct (liter),14.8,14.0,0.21,207.2,43.51
1626,467,26,Kitten en afdichtmiddel (stuk),9.5,9.0,0.21,85.5,17.95
1627,467,30,Omzetbelasting correctie,19.7,0.0,0.09,0.0,0.0
1628,467,21,Materiaal grondverf (liter),1.7,6.0,0.21,10.2,2.14
1629,467,4,Uitvoering schilderwerk binnen,3.0,14.0,0.21,42.0,8.82
1630,467,16,Bestrating,19.5,40.0,0.21,780.0,163.8
1631,468,28,Hoogwerker huur (dag),13.3,180.0,0.21,2394.0,502.74
1632,468,8,Schuurwerk en voorbereiding,11.0,55.0,0.21,605.0,127.05
1633,468,27,Steiger huur (dag),15.9,85.0,0.21,1351.5,283.81
1634,468,28,Hoogwerker huur (dag),7.5,180.0,0.21,1350.0,283.5
1635,469,6,Stucwerk,14.5,35.0,0.21,507.5,106.58
1636,469,20,Materiaal verf (liter),17.1,8.5,0.21,145.35,30.52
1637,470,30,Omzetbelasting correctie,14.1,0.0,0.09,0.0,0.0
1638,470,1,Advies en consultancy,1.2,95.0,0.21,114.0,23.94
1639,470,28,Hoogwerker huur (dag),9.0,180.0,0.21,1620.0,340.2
1640,470,6,Stucwerk,5.5,35.0,0.21,192.5,40.42
1641,471,14,Snoeien en onderhoud,1.5,60.0,0.21,90.0,18.9
1642,471,18,APK-keuring begeleiding,12.3,35.0,0.21,430.5,90.41
1643,471,7,Houtrot herstel,2.1,75.0,0.21,157.5,33.07
1644,471,5,Behangen,18.9,22.0,0.21,415.8,87.32
1645,472,3,Uitvoering schilderwerk buiten,17.5,18.5,0.21,323.75,67.99
1646,472,13,Kleuradvies,3.7,65.0,0.21,240.5,50.5
1647,472,8,Schuurwerk en voorbereiding,5.7,55.0,0.21,313.5,65.83
1648,472,14,Snoeien en onderhoud,11.4,60.0,0.21,684.0,143.64
1649,473,27,Steiger huur (dag),5.2,85.0,0.21,442.0,92.82
1650,473,15,Tuinaanleg,6.3,25.0,0.21,157.5,33.07
1651,473,26,Kitten en afdichtmiddel (stuk),4.8,9.0,0.21,43.2,9.07
1652,474,25,Houtbeschermingsproduct (liter),9.8,14.0,0.21,137.2,28.81
1653,474,11,Grondverf aanbrengen,18.6,6.5,0.21,120.9,25.39
1654,474,12,Lakken kozijnen,12.6,45.0,0.21,567.0,119.07
1655,474,22,Schuurpapier (set),12.8,12.0,0.21,153.6,32.26
1656,474,15,Tuinaanleg,14.2,25.0,0.21,355.0,74.55
1657,475,1,Advies en consultancy,17.9,95.0,0.21,1700.5,357.1
1658,475,11,Grondverf aanbrengen,18.0,6.5,0.21,117.0,24.57
1659,475,8,Schuurwerk en voorbereiding,14.1,55.0,0.21,775.5,162.85
1660,476,18,APK-keuring begeleiding,5.3,35.0,0.21,185.5,38.95
1661,477,29,Cursus veiligheid op hoogte,13.7,250.0,0.21,3425.0,719.25
1662,477,17,Autodetailing,13.3,120.0,0.21,1596.0,335.16
1663,477,17,Autodetailing,4.1,120.0,0.21,492.0,103.32
1664,477,25,Houtbeschermingsproduct (liter),2.4,14.0,0.21,33.6,7.06
1665,478,16,Bestrating,6.6,40.0,0.21,264.0,55.44
1666,478,10,Dakgoot behandeling,7.1,12.0,0.21,85.2,17.89
